jar,tmt,temp,food
1,no pred,12,A12
2,pred,12,A12
3,no pred,12,A12
4,pred,12,A12
5,no pred,12,A12
6,pred,12,A12
7,no pred,12,A12
8,pred,12,A12
9,no pred,12,A12
10,pred,12,A12
11,no pred,12,A18
12,pred,12,A18
13,no pred,12,A18
14,pred,12,A18
15,no pred,12,A18
16,pred,12,A18
17,no pred,12,A18
18,pred,12,A18
19,no pred,12,A18
20,pred,12,A18
21,no pred,12,A12
22,pred,12,A12
23,no pred,12,A12
24,pred,12,A12
25,no pred,12,A12
26,pred,12,A12
27,no pred,12,A12
28,pred,12,A12
29,no pred,12,A12
30,pred,12,A12
31,no pred,12,A18
32,pred,12,A18
33,no pred,12,A18
34,pred,12,A18
35,no pred,12,A18
36,pred,12,A18
37,no pred,12,A18
38,pred,12,A18
39,no pred,12,A18
40,pred,12,A18
41,no pred,12,A12
42,pred,12,A12
43,no pred,12,A12
44,pred,12,A12
45,no pred,12,A12
46,pred,12,A12
47,no pred,12,A12
48,pred,12,A12
49,no pred,12,A12
50,pred,12,A12
51,no pred,12,A18
52,pred,12,A18
53,no pred,12,A18
54,pred,12,A18
55,no pred,12,A18
56,pred,12,A18
57,no pred,12,A18
58,pred,12,A18
59,no pred,12,A18
60,pred,12,A18
61,no pred,12,A12
62,pred,12,A12
63,no pred,12,A12
64,pred,12,A12
65,no pred,12,A12
66,pred,12,A12
67,no pred,12,A12
68,pred,12,A12
69,no pred,12,A12
70,pred,12,A12
71,no pred,12,A18
72,pred,12,A18
73,no pred,12,A18
74,pred,12,A18
75,no pred,12,A18
76,pred,12,A18
77,no pred,12,A18
78,pred,12,A18
79,no pred,12,A18
80,pred,12,A18
81,no pred,18,A12
82,pred,18,A12
83,no pred,18,A12
84,pred,18,A12
85,no pred,18,A12
86,pred,18,A12
87,no pred,18,A12
88,pred,18,A12
89,no pred,18,A12
90,pred,18,A12
91,no pred,18,A18
92,pred,18,A18
93,no pred,18,A18
94,pred,18,A18
95,no pred,18,A18
96,pred,18,A18
97,no pred,18,A18
98,pred,18,A18
99,no pred,18,A18
100,pred,18,A18
101,no pred,18,A12
102,pred,18,A12
103,no pred,18,A12
104,pred,18,A12
105,no pred,18,A12
106,pred,18,A12
107,no pred,18,A12
108,pred,18,A12
109,no pred,18,A12
110,pred,18,A12
111,no pred,18,A18
112,pred,18,A18
113,no pred,18,A18
114,pred,18,A18
115,no pred,18,A18
116,pred,18,A18
117,no pred,18,A18
118,pred,18,A18
119,no pred,18,A18
120,pred,18,A18
121,no pred,18,A12
122,pred,18,A12
123,no pred,18,A12
124,pred,18,A12
125,no pred,18,A12
126,pred,18,A12
127,no pred,18,A12
128,pred,18,A12
129,no pred,18,A12
130,pred,18,A12
131,no pred,18,A18
132,pred,18,A18
133,no pred,18,A18
134,pred,18,A18
135,no pred,18,A18
136,pred,18,A18
137,no pred,18,A18
138,pred,18,A18
139,no pred,18,A18
140,pred,18,A18
141,no pred,18,A12
142,pred,18,A12
143,no pred,18,A12
144,pred,18,A12
145,no pred,18,A12
146,pred,18,A12
147,no pred,18,A12
148,pred,18,A12
149,no pred,18,A12
150,pred,18,A12
151,no pred,18,A18
152,pred,18,A18
153,no pred,18,A18
154,pred,18,A18
155,no pred,18,A18
156,pred,18,A18
157,no pred,18,A18
158,pred,18,A18
159,no pred,18,A18
160,pred,18,A18